code,Ingredients,protein,carbohydrates,fats,minerals,fibre,calories
G004,"Chillies, green-4 (Capsicum annum)",2.33,6.63,0.74,0.87,4.15,45.41114
G005,"Chillies, green-5 (Capsicum annum)",2.01,6.64,0.65,0.82,3.95,43.02108
G006,"Chillies, green-6 (Capsicum annum)",3.01,5.31,0.64,0.96,5.15,41.82605
G007,"Chillies, green-7 (Capsicum annum)",2.12,5.61,0.6,0.9,4.95,38.957978
G008,"Chillies, green - all varieties (Capsicum annum)",2.36,5.86,0.72,0.91,4.77,42.304062
G009,Coriander leaves (Coriandrum sativum),3.52,1.93,0.7,2.19,4.66,31.07078
G010,Curry leaves (Murraya koenigii),7.41,4.51,1.06,4.86,16.83,63.575596
G011,"Garlic, big clove (Allium sativum)",6.92,21.93,0.16,1.4,5.22,123.805108
G012,"Garlic, small clove (Allium sativum)",6.75,21.84,0.14,1.38,5.47,122.849084
G013,"Garlic, single clove, Kashmir (Allium sativum)",6.12,23.46,0.16,1.76,4.01,125.000138
G014,"Ginger, fresh (Zinziber officinale)",2.22,8.97,0.85,1.33,5.36,54.97138
G015,Mango ginger (Curcuma amada),1.45,6.98,0.7,1.57,4.74,42.304062
G016,Mint leaves (Mentha spicata ),4.66,2.39,0.65,2.18,5.89,37.04593
G017,"Onion, big (Allium cepa)",1.5,9.56,0.24,0.5,2.45,48.040206
G018,"Onion, small (Allium cepa)",1.82,11.58,0.16,0.61,1.16,56.644422
G019,Asafoetida (Ferula assa-foetida),6.34,71.95,1.26,5.9,5.13,331.501322
G020,"Cardamom, green (Elettaria cardamomum)",8.1,47.76,2.6,7.21,23.1,255.019402
G021,"Cardamom, black (Elettaria cardamomum)",6.69,52.53,2.8,7.84,23.46,270.554792
G022,"Chillies, red (Capsicum annum)",12.69,29.46,6.4,5.73,31.15,236.61594
G023,Cloves (Syzygium aromaticum),5.86,18.73,8.41,5.99,34.52,186.663686
G024,Coriander seeds (Coriandrum sativum),10.66,12.98,17.47,5.36,44.81,268.88175
G025,Cumin seeds (Cuminum cyminum),13.91,22.62,16.64,5.9,30.35,304.493644
G026,Fenugreek seeds (Trigonella foenum graecum),25.41,10.57,5.72,2.93,47.55,234.942898
G027,Mace (Myristica fragrans),6.24,26.51,24.41,2.47,20.31,355.640928
G028,Nutmeg (Myristica fragrans),6.3,27.64,36.52,1.99,11.99,463.67164
G029,Omum (Trachyspermum ammi),15.89,24.53,21.11,8.18,20.58,357.31397
G030,Pippali (Piper longum),10.53,35.7,2.27,6.41,34.14,216.539436
G031,"Pepper, black (Piper nigrum)",10.12,36.22,2.74,4.58,33.16,217.49546
G032,Poppy seeds (Papaver somniferum),20.31,12.37,30.38,6.04,26.68,422.562608
G033,Turmeric powder (Curcuma domestica),7.66,49.22,5.03,6.13,21.38,280.593044
H001,Almond (Prunus amygdalus),18.41,3.04,58.49,2.62,13.06,609.226294
H002,"Arecanut, dried, brown (Areca catechu)",5.78,70.42,4.35,1.39,11.44,350.621802
H003,"Arecanut, dried, red color (Areca catechu)",6.46,70.27,4.46,1.41,11.11,353.011862
H004,"Arecanut, fresh (Areca catechu)",2.73,45,5.51,1.43,7.63,244.742144
H005,Cashew nut (Anacardium occidentale),18.78,25.46,45.2,2.25,3.86,582.696628
H006,"Coconut, kernal, dry (Cocos nucifera)",7.27,8.01,63.26,1.61,15.88,624.044666
H007,"Coconut, kernel, fresh (Cocos nucifera)",3.84,6.3,41.38,1.93,10.42,408.939266
H008,"Garden cress, seeds (Lepidium sativum)",23.36,33.66,23.74,6.37,8.27,445.268178
